id,number,club,age,value
Casillas,1,RMA,27,7/7
Reina,23,LIV,26,0/7
Valdés,12,BAR,28,0/7
Arbeloa,17,LIV,26,1/7
Capdevilla,11,VIL,31,7/7
Marchena,4,VAL,29,3/7
Piqué,3,BAR,22,7/7
Puyol,5,BAR,31,7/7
Albiol,2,RMA,23,0/7
Ramos,15,RMA,23,7/7
Busquets,16,BAR,20,7/7
Fábregas,10,ARS,22,4/7
Silva,21,VAL,23,2/7
Iniesta,6,BAR,25,6/7
Martinez,20,ATH,20,1/7
Navas,22,SEV,23,3/7
Alonso,14,RMA,27,7/7
Xavi,8,BAR,29,7/7
Villa,7,VAL,27,7/7
Torres,9,LIV,25,7/7
Llorrente,19,ATH,24,1/7
Mata,13,VAL,21,1/7
Pedro,18,BAR,21,5/7
